specObjID,bestObjID,plate,mjd,fiberID,survey,class,subClass,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
9.897984E+18,1237657071693594923,8791,57373,720,eboss,GALAXY,STARBURST,21.99087,0.6905793,22.13026,21.18066,20.4786,20.02673,19.53857
9.898038E+18,1237657071694053816,8791,57373,917,eboss,GALAXY,STARBURST,23.00794,0.6629509,21.44269,20.8081,20.14184,19.93469,19.56693
9.899025E+18,1237657069546897687,8792,57364,411,eboss,GALAXY,STARBURST,23.79306,-1.017759,21.48876,20.76903,20.02886,19.55293,19.0715
9.899077E+18,1237663784744648872,8792,57364,599,eboss,GALAXY,STARFORMING,23.72296,0.5594139,22.33102,21.31495,20.01728,19.46403,18.89305
9.899105E+18,1237678617428558299,8792,57364,702,eboss,GALAXY,STARBURST,24.43287,1.220309,22.58934,22.3961,21.7073,22.23954,21.12151
9.900108E+18,1237663783135347009,8793,57391,256,eboss,GALAXY,AGN,26.77326,-0.7667631,22.41719,20.54665,19.51753,19.12978,18.77437
9.90014E+18,1237657069547946409,8793,57391,370,eboss,GALAXY,STARBURST,26.12078,-0.9156902,24.56623,23.31481,22.67894,23.41265,21.68204
9.90016E+18,1237663782598082884,8793,57391,442,eboss,GALAXY,STARBURST,25.79427,-1.231811,22.22485,20.88132,20.06088,19.58769,19.10247
9.900185E+18,1237663784208499289,8793,57391,534,eboss,GALAXY,STARBURST,25.37369,0.1784491,22.53419,22.13202,21.29654,21.01135,20.19628
9.900243E+18,1237678617429475666,8793,57391,746,eboss,GALAXY,STARBURST,26.65127,1.249166,22.30939,22.5804,22.02408,21.64776,21.64623
9.900283E+18,1237657071159083211,8793,57391,891,eboss,GALAXY,STARFORMING,27.29208,0.2164853,22.18731,22.33302,21.84285,21.51443,21.65923
9.929506E+18,1237662193447273198,8819,57450,708,eboss,GALAXY,STARBURST,168.4921,40.32027,23.26342,22.36035,21.79647,21.73485,21.18656
9.929509E+18,1237664670050746730,8819,57450,720,eboss,GALAXY,STARBURST,168.5607,39.97008,23.22724,22.15795,21.6794,21.74131,21.0813
9.930578E+18,1237661137963516154,8820,57449,512,eboss,GALAXY,STARBURST,163.5909,40.40511,22.05811,21.79618,21.47927,20.93355,21.12102
9.93171E+18,1237661381704482949,8821,57731,536,eboss,GALAXY,STARBURST,161.8653,38.93471,22.36845,22.15754,21.92155,21.69213,21.78574
9.931744E+18,1237662226207342811,8821,57731,658,eboss,GALAXY,STARBURST,162.2782,38.75457,21.50041,21.1812,20.51869,20.21287,20.00045
9.932835E+18,1237661383314178557,8822,58167,532,eboss,GALAXY,STARBURST,158.6907,39.46102,22.59944,21.67177,21.30661,21.14581,20.88432
9.934981E+18,1237661137961353435,8824,58162,149,eboss,GALAXY,STARFORMING,157.4593,39.01148,21.64838,21.38696,21.60795,21.88481,22.42982
